Campo;Valor / evidencia
Propietario;
Versión;
Fecha de aprobación;
Ámbito;
Usos permitidos;
Usos prohibidos;
Datos y confidencialidad;
Shadow AI;
Supervisión humana;
Excepciones;
Revisión;
