Campo;Valor / evidencia
Proveedor;
Servicio;
Subencargados;
Residencia del dato;
Entrenamiento con datos del cliente;
Cifrado;
Registro y trazabilidad;
Gestión de incidentes;
Continuidad;
Derecho de auditoría;
Plan de salida;
