Campo;Valor / evidencia
Objetivo;
Alcance;
Criterios;
Equipo auditor;
Procesos / sistemas;
Muestreo;
Evidencias requeridas;
Entrevistas;
Calendario;
Riesgos de auditoría;
Entregables;
